Word,Appearance Frequency,Meaning,Category,Search Count,Add Date,Importance,Done
model,9,モデル,認知科学,3,2024-10-05,1,0.0
std,9,標準,データ分析,3,2024-10-02,1,1.0
test,9,テスト,データ分析,3,2024-10-02,1,0.0
depressed,8,押し下げられた,データ分析,3,2024-10-02,1,1.0
score,8,スコア,データ分析,3,2024-10-02,1,0.0
dose,8,用量,データ分析,3,2024-10-02,1,1.0
method,7,方法,強化学習,3,2024-10-02,1,0.0
different,7,違う,データ分析,3,2024-10-02,1,1.0
feature,7,特徴,データ分析,3,2024-10-02,1,0.0
review,7,レビュー,データ分析,3,2024-10-02,1,1.0
age,7,年,データ分析,3,2024-10-02,1,0.0
question,7,質問,データ分析,3,2024-10-02,1,1.0
created,7,作成された,データ分析,3,2024-10-02,1,0.0
cross,7,クロス,データ分析,3,2024-10-02,1,1.0
confusion,7,混乱,データ分析,3,2024-10-02,1,0.0
dose medication,7,投薬量,データ分析,3,2024-10-02,1,1.0
methods,6,方法,強化学習,3,2024-10-02,1,0.0
studied,6,研究した,データ分析,3,2024-10-03,1,1.0
spectral,6,スペクトル,データ分析,3,2024-10-03,1,0.0
according,6,によると,データ分析,3,2024-10-03,1,1.0
total,6,合計,データ分析,3,2024-10-03,1,0.0
prediction,6,予測,データ分析,3,2024-10-03,1,1.0
result,6,結果,データ分析,3,2024-10-03,1,0.0
matrix,6,マトリックス,データ分析,3,2024-10-03,1,1.0
male,6,男,データ分析,3,2024-10-03,1,0.0
policy,148,ポリシー,強化学習,5,2024-10-04,1,1.0
soft,54,柔らかい,強化学習,5,2024-10-04,1,0.0
actor,52,俳優,強化学習,5,2024-10-04,1,1.0
entropy,46,エントロピ,強化学習,5,2024-10-04,1,0.0
maximum,35,最大,強化学習,4,2024-10-04,1,1.0
q,34,q,強化学習,4,2024-10-04,1,0.0
critic,31,批評家,強化学習,4,2024-10-04,1,1.0
critic actor,29,批評家俳優,強化学習,4,2024-10-04,1,0.0
gradient,26,勾配,強化学習,4,2024-10-04,1,1.0
state,21,州,強化学習,4,2024-10-04,1,0.0
sac,21,袋,強化学習,3,2024-10-04,1,1.0
algorithms,19,アルゴリズム,認知科学,3,2024-10-05,1,0.0
objective,19,客観的,強化学習,3,2024-10-04,1,1.0
reward,18,褒美,強化学習,3,2024-10-04,1,0.0
network,18,ネットワーク,強化学習,3,2024-10-04,1,1.0
optimal,17,最適,強化学習,3,2024-10-04,1,0.0
ddpg,16,ddpg,強化学習,3,2024-10-04,1,1.0
target,16,ターゲット,強化学習,3,2024-10-04,1,0.0
reinforcement,15,強化,強化学習,3,2024-10-04,1,1.0
off,15,オフ,強化学習,3,2024-10-04,1,0.0
action,15,アクション,強化学習,3,2024-10-04,1,1.0
evaluation,15,評価,強化学習,3,2024-10-04,1,0.0
prior,14,前,強化学習,3,2024-10-04,1,1.0
use,13,使用,強化学習,3,2024-10-04,1,0.0
iteration,13,反復,強化学習,3,2024-10-04,1,1.0
learning reinforcement,13,学習強化,強化学習,3,2024-10-04,1,0.0
rl,12,rl,強化学習,3,2024-10-04,1,1.0
continuous,12,連続した,強化学習,3,2024-10-04,1,0.0
exploration,12,探検,強化学習,3,2024-10-04,1,1.0
stability,11,安定性,強化学習,3,2024-10-04,1,0.0
policies,11,ポリシー,強化学習,3,2024-10-04,1,1.0
equation,11,方程式,認知科学,3,2024-10-05,1,0.0
iteration policy,11,反復ポリシー,強化学習,3,2024-10-04,1,1.0
function value,11,関数値,強化学習,3,2024-10-04,1,0.0
function q,11,関数q,強化学習,3,2024-10-04,1,1.0
improvement,10,改善,強化学習,3,2024-10-04,1,0.0
gradient policy,10,勾配政策,強化学習,3,2024-10-04,1,1.0
effect,52,効果,認知科学,5,2024-10-05,1,0.0
variables,33,変数,認知科学,5,2024-10-05,1,1.0
z,29,ず,認知科学,5,2024-10-05,1,0.0
causal,25,因果関係,認知科学,5,2024-10-05,1,1.0
x,25,x,認知科学,4,2024-10-05,1,0.0
pearl,24,パール,認知科学,4,2024-10-05,1,1.0
outcome,24,結果,認知科学,4,2024-10-05,1,0.0
probability,23,確率,認知科学,4,2024-10-05,1,1.0
set,21,セット,認知科学,4,2024-10-05,1,0.0
treatment,20,処理,認知科学,4,2024-10-05,1,1.0
u,20,あなた,認知科学,3,2024-10-05,1,0.0
factors,18,要因,認知科学,3,2024-10-05,1,1.0
variable,17,変数,認知科学,3,2024-10-05,1,0.0
counterfactuals,16,反事実,認知科学,3,2024-10-05,1,1.0
effects,14,効果,認知科学,3,2024-10-05,1,0.0
language,14,言語,認知科学,3,2024-10-05,1,1.0
problem,14,問題,認知科学,3,2024-10-05,1,0.0
notation,14,表記,認知科学,3,2024-10-05,1,1.0
v,14,ヴ,認知科学,3,2024-10-05,1,0.0
section,13,セクション,認知科学,3,2024-10-05,1,1.0
conditions,13,条件,認知科学,3,2024-10-05,1,0.0
adjustment,12,調整,認知科学,3,2024-10-05,1,1.0
figure,12,形,認知科学,3,2024-10-05,1,0.0
models,11,モデル,認知科学,3,2024-10-05,1,1.0
terms,11,条項,認知科学,3,2024-10-05,1,0.0
knowledge,10,知識,認知科学,3,2024-10-05,1,1.0
path,10,パス,認知科学,3,2024-10-05,1,0.0
interpretation,10,解釈,認知科学,3,2024-10-05,1,1.0
equations,10,方程式,認知科学,3,2024-10-05,1,0.0
door,10,ドア,認知科学,3,2024-10-05,1,1.0
criterion,10,基準,認知科学,3,2024-10-05,1,0.0
covariates,10,共変量,認知科学,3,2024-10-05,1,1.0
rubin,9,ルビン,認知科学,3,2024-10-05,1,0.0
questions,9,質問,認知科学,3,2024-10-05,1,1.0
studies,9,研究,認知科学,3,2024-10-05,1,1.0
events,9,イベント,認知科学,3,2024-10-05,1,1.0
density,62,密度,認知科学,5,2024-10-05,1,1.0
markov,40,マルコフ,認知科学,4,2024-10-05,1,1.0
wine,38,ワイン,認知科学,4,2024-10-05,1,1.0
densities,36,密度,認知科学,3,2024-10-05,1,1.0
population,35,人口,認知科学,3,2024-10-05,1,1.0
search,35,検索,認知科学,3,2024-10-05,1,1.0
manipulation,29,操作,認知科学,3,2024-10-05,1,1.0
values,25,価値観,認知科学,3,2024-10-05,1,1.0
inference,25,推論,認知科学,3,2024-10-05,1,1.0
heart,25,心臓,認知科学,3,2024-10-05,1,1.0
equivalence,23,等価,認知科学,3,2024-10-05,1,1.0
models causal,22,因果モデル,認知科学,3,2024-10-05,1,1.0
problems,21,問題,認知科学,3,2024-10-05,1,1.0
manipulations,20,操作,認知科学,3,2024-10-05,1,1.0
graph,20,グラフ,認知科学,3,2024-10-05,1,1.0
independence,20,独立,認知科学,3,2024-10-05,1,1.0
attacks,19,攻撃,認知科学,3,2024-10-05,1,1.0
attacks heart,19,心臓を攻撃する,認知科学,3,2024-10-05,1,1.0
time,17,時間,認知科学,3,2024-10-05,1,1.0
